time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:33:53,37,306.0,72.0,22,30,0.0,0.4
16:33:55,24,306.0,72.0,26,30,0.0,0.1
16:33:57,34,306.0,72.0,22,30,0.0,0.0
16:33:59,42,306.0,71.0,24,30,0.0,0.2
16:34:01,35,306.0,72.0,21,30,0.0,0.0
16:34:04,20,306.0,72.0,21,30,0.0,0.0
16:34:06,43,306.0,71.0,20,30,0.0,0.1
16:34:08,31,306.0,72.0,22,30,0.0,0.0
16:34:10,17,306.0,72.0,21,30,0.0,0.1
16:34:12,42,306.0,71.0,20,30,0.0,0.4
16:34:14,36,306.0,72.0,22,30,0.0,0.0
16:34:16,20,306.0,72.0,21,30,0.0,0.1
16:34:18,37,306.0,71.0,22,30,0.0,0.1
16:34:20,30,306.0,71.0,21,30,0.0,0.1
16:34:22,16,306.0,72.0,23,30,0.0,0.5
16:34:24,37,306.0,72.0,23,30,0.0,0.0
16:34:26,37,306.0,72.0,22,30,0.0,0.2
16:34:28,25,306.0,72.0,22,30,0.0,0.0
16:34:30,37,306.0,71.0,20,30,0.0,0.1
16:34:32,30,306.0,72.0,21,30,0.0,0.0
16:34:34,20,306.0,72.0,24,30,0.0,0.1
16:34:36,25,306.0,72.0,26,30,0.4,1.8
16:34:38,36,306.0,72.0,25,30,0.7,3.0
16:34:40,33,306.0,72.0,26,30,0.3,1.8
16:34:43,30,306.0,72.0,25,30,0.9,3.9
16:34:45,16,306.0,72.0,24,30,0.8,2.5
16:34:47,36,306.0,71.0,23,30,1.0,3.9
16:34:49,30,306.0,71.0,25,30,0.6,2.3
16:34:51,17,306.0,72.0,26,30,0.8,3.2
16:34:53,34,306.0,72.0,29,30,0.4,2.3
16:34:55,31,306.0,71.0,25,30,0.7,3.7
16:34:57,17,306.0,72.0,24,30,0.6,2.6
16:34:59,36,306.0,71.0,24,30,1.0,4.2
16:35:01,31,306.0,71.0,24,30,0.3,1.5
16:35:03,16,306.0,72.0,24,30,0.4,2.5
16:35:05,36,306.0,72.0,24,30,0.4,2.1
16:35:07,30,306.0,72.0,24,30,0.7,2.9
16:35:09,17,306.0,72.0,26,30,0.7,2.5
16:35:11,36,306.0,72.0,26,30,0.7,4.4
16:35:13,29,306.0,72.0,26,30,0.4,1.9
16:35:15,17,306.0,72.0,25,30,0.5,2.7
16:35:17,27,306.0,73.0,25,30,0.3,1.6
16:35:20,25,306.0,72.0,25,30,0.3,2.1
16:35:22,34,306.0,72.0,27,30,0.3,1.9
16:35:24,27,306.0,72.0,34,30,16.0,15.2
16:35:26,28,306.0,71.0,76,30,0.7,16.9
16:35:28,35,306.0,71.0,47,30,0.2,13.6
16:35:30,32,306.0,71.0,35,30,0.1,7.8
16:35:32,32,306.0,71.0,33,30,0.0,7.9
16:35:34,32,306.0,71.0,33,30,0.0,7.5
16:35:36,29,306.0,72.0,22,30,0.0,0.3
16:35:38,33,306.0,71.0,22,30,0.0,0.1
16:35:40,37,306.0,72.0,22,30,0.0,0.0
16:35:42,29,306.0,72.0,23,30,0.0,0.1
16:35:44,28,306.0,72.0,23,30,0.0,0.0
16:35:46,37,306.0,72.0,22,30,0.0,0.2
16:35:48,32,306.0,72.0,23,30,0.0,0.1
16:35:50,35,306.0,72.0,23,30,0.0,0.0
16:35:52,31,306.0,72.0,21,30,0.0,0.5
16:35:55,32,306.0,72.0,21,30,0.0,0.0
16:35:57,28,306.0,72.0,21,30,0.0,0.1
16:35:59,37,306.0,72.0,23,30,0.0,10.2
16:36:01,20,306.0,72.0,24,30,0.0,0.0
